Sample_ID;Date;Treatment;Plant;Repetition_measurment;CH5O+;C3H5O+;C5H7+;C5H9+;C5H11+;C6H9+;C6H11+;C6H13+;C7H9+;C7H11+;C6H11O+;C6H13O+;C6H15O+;C7H7O+;C8H13+;C8H8N+;C10H15+;C10H17+;C8H15O2+;C8H17O2+;C11H17+;C9H11O2+;C11H19+;C8H10NO2+;C10H12O2+;C12H21O2+;C15H25+;C16H27+
Background 3;6/25/2020;background;#N/A;3;4.7815933;226.5288;106.4464;415.9515;51.0812;193.2996;200.9282;10.4484;182.7814;71.4718;32.5642;22.0436;0.1957;43.681496;131.96;6.7815;12.2326;42.7667;42.8743;5.9309;7.561;7.7046;4.6488;4.5356;5.2743;2.0553432;2.9549;0.88643295
Background 3;6/25/2020;background;#N/A;3;1.1505584;207.1122;112.7472;356.0932;34.6696;179.506;190.0463;10.9595;192.7349;80.9752;45.9436;13.7012;0.074;42.69091;131.553;5.4101;17.0725;45.1814;27.9531;7.0026;7.1345;2.6626;6.786;2.3951;7.2804;6.0797558;1.9838;0.16200206
Background 3;6/25/2020;background;#N/A;3;3.0213447;219.3698;91.549;389.7104;38.6662;200.4275;237.8972;16.7501;188.5482;85.2329;43.9889;12.5968;0.789;41.910671;121.2846;9.7608;16.9059;55.0588;24.5677;4.5304;2.9696;9.8119;8.0473;4.3843;6.0791;0.82004136;4.2257;1.6440096
Background 3;6/25/2020;background;#N/A;3;3.0862734;218.3491;94.2373;357.7543;50.1483;194.0893;196.9397;11.2226;187.8438;80.0045;47.077;15.0495;1.2452;47.978233;144.7978;4.9885;13.8316;46.6935;22.5046;7.8336;3.5899;12.5534;1.1973;6.1519;4.8639;2.0674603;5.4952;0.47906566
Background 3;6/25/2020;background;#N/A;3;1.3938993;214.1389;103.4273;283.8426;32.0864;162.1214;163.591;5.9562;185.7501;71.9018;42.7603;18.1866;2.8986;40.997467;111.7514;13.401;23.4487;48.5302;23.5766;10.2119;8.6617;7.8369;3.2813;3.1194;4.9906;1.714494;3.3842;0.59938306
Background 3;6/25/2020;background;#N/A;3;5.3100181;194.6963;90.7971;272.2629;32.4576;135.08;149.1913;13.6581;173.5353;65.3712;37.598;17.0831;2.4326;33.389931;102.1771;8.7964;18.3966;33.7248;28.1675;12.3517;5.7578;8.0284;4.2279;4.5417;4.8826;3.7502005;3.6017;0.60051614
Background 3;6/25/2020;background;#N/A;3;1.015027;208.857;81.3591;271.2751;28.22;151.1567;127.8103;13.079;139.8747;70.6894;46.7032;12.9773;0.4067;45.987354;99.3673;9.5119;16.152;37.6164;31.1612;6.1946;3.0529;11.516;2.2709;4.8233;8.8436;0.47028062;5.2464;0.9102397
Background 3;6/25/2020;background;#N/A;3;3.3797913;209.2791;86.2317;291.1429;36.5592;154.9508;190.0714;13.5008;148.2216;69.939;55.374;13.8854;0.4886;49.570938;138.804;8.1326;18.553;34.0086;28.2995;12.1655;7.7653;7.3203;5.5509;3.9188;5.4208;0.64456767;2.3292;1.3075517
Background 3;6/25/2020;background;#N/A;3;5.123682;209.5339;79.4607;323.5084;39.6324;157.5052;190.2092;15.3865;162.7973;78.3448;39.0451;14.7478;0.8104;63.956703;118.2369;15.4866;17.5108;39.711;28.7558;12.3053;10.2043;7.0627;3.9299;8.5847;5.1154;3.0957105;1.7131;0
Background 3;6/25/2020;background;#N/A;3;2.8604944;223.1715;101.6822;361.4179;22.3798;176.8416;227.8962;9.1804;160.5911;80.6105;35.9361;13.6115;2.9775;49.260361;176.2188;13.0459;21.2111;32.8969;40.6075;8.8286;5.622;7.066;7.1819;3.4455;4.9614;1.3097963;5.0479;1.3313518
